Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
17,16.0,Cl- 34,33.973762549,0.0,1.5264S 14,-21.0033
17,17.0,Cl- 35,34.968852709,0.0,-1.0,-24.4401
17,18.0,Cl-nat,35.453,0.0056,,-29.0135
17,18.0,Cl- 36,35.968306836,0.0,3.01E+5Y 2,-29.0135
17,19.0,Cl- 37,36.965902574,0.0,-1.0,-29.522
17,20.0,Cl- 38,37.968010409,0.0,37.230M 14,-31.7615
17,21.0,Cl- 39,38.968008148,0.0,55.6M 2,-29.7981
17,22.0,Cl- 40,39.970415469,0.0001,1.35M 2,-29.8002
17,23.0,Cl- 41,40.970684525,0.0002,38.4S 8,-27.56
17,24.0,Cl- 42,41.973254804,0.0004,6.9S 3,-27.31
17,25.0,Cl- 43,42.97379677,0.0005,3.07S 7,-24.91
17,26.0,Cl- 44,43.977879428,0.0003,0.56S 11,-24.32
17,27.0,Cl- 45,44.98029,0.0002,400MS 43,-20.61
17,28.0,Cl- 46,45.985174,0.0004,223MS 37,-18.36
17,29.0,Cl- 47,46.98916,0.0018,101MS 6,-13.81
17,30.0,Cl- 48,47.99564,0.0016,,-10.1
17,31.0,,,,,-4.06
17,32.0,Cl- 49,49.00123,0.0018,,1.15
17,33.0,,,,,8.43
17,34.0,Cl- 51,51.01554,0.0021,,14.48
18,12.0,,,,,21.49
18,13.0,Ar- 31,31.012124,0.0007,15MS 3,11.29
18,13.0,Ar- 32,31.997637806,0.0,98MS 2,11.29
18,14.0,Ar- 33,32.98992553,0.0,173.0MS 20,-2.2004
18,15.0,Ar- 34,33.980271063,0.0,844.5MS 34,-9.3843
18,16.0,Ar- 35,34.975257613,0.0,1.775S 4,-18.3783
18,17.0,Ar- 36,35.967545107,0.0,-1.0,-23.0474
18,18.0,Ar- 37,36.966776303,0.0,35.04D 4,-30.2315
18,19.0,Ar- 38,37.962732196,0.0,-1.0,-30.9477
18,20.0,Ar- 39,38.964313038,0.0,269Y 3,-34.7148
18,21.0,Ar-nat,39.948,0.0025,,-33.242
18,21.0,Ar- 40,39.9623831237,0.0,-1.0,-33.242
18,22.0,Ar- 41,40.964500571,0.0,109.61M 4,-35.0399
18,23.0,Ar- 42,41.963045737,0.0,32.9Y 11,-33.0675
18,24.0,Ar- 43,42.965636056,0.0,5.37M 6,-34.423
18,25.0,Ar- 44,43.964923829,0.0,11.87M 5,-32.01
18,26.0,Ar- 45,44.96803975,0.0,21.48S 15,-32.6733
18,27.0,Ar- 46,45.968084079,0.0001,8.4S 6,-29.7708
18,28.0,Ar- 47,46.972936232,0.0002,1.23S 3,-29.73
18,29.0,Ar- 48,47.97569,0.0016,475MS 40,-25.21
18,30.0,Ar- 49,48.98198,0.0018,170MS 50,-22.44
18,31.0,Ar- 50,49.98631,0.0019,85MS 30,-16.86
18,32.0,Ar- 51,50.9937,0.0021,,-12.92
18,33.0,,,,,-5.87
18,34.0,,,,,-0.97
18,35.0,,,,,6.79
19,13.0,,,,,21.1
19,14.0,,,,,7.04
19,15.0,K- 35,34.988005396,0.0,190MS 30,-1.22
19,16.0,K- 36,35.981301724,0.0,342MS 2,-11.1729
19,17.0,K- 37,36.973375891,0.0,1.226S 7,-17.4171
19,18.0,K- 38,37.969081197,0.0,7.636M 18,-24.8002
19,19.0,K- 39,38.96370648636,0.0,-1.0,-28.8008
19,20.0,K-nat,39.0983,0.0003,,-33.8072
19,20.0,K- 40,39.963998166,0.0,1.277E+9Y 8,-33.8072
19,21.0,K- 41,40.96182525793,0.0,-1.0,-33.5355
19,22.0,K- 42,41.962402306,0.0,12.360H 12,-35.5595
19,23.0,K- 43,42.960734713,0.0,22.3H 1,-35.022
19,24.0,K- 44,43.961586999,0.0,22.13M 19,-36.5754
19,25.0,K- 45,44.96069151,0.0,17.81M 61,-35.7815
19,26.0,K- 46,45.961981606,0.0,105S 10,-36.6156
19,27.0,K- 47,46.961664836,0.0,17.50S 24,-35.4139
19,28.0,K- 48,47.965340411,0.0,6.8S 2,-35.712
19,29.0,K- 49,48.968210272,0.0,1.26S 5,-32.2845
19,30.0,K- 50,49.972370747,0.0,472MS 4,-29.6115
19,31.0,K- 51,50.97685,0.0013,365MS 5,-25.728
19,32.0,K- 52,51.9828,0.0014,105MS 5,-22.516
19,33.0,K- 53,52.98811,0.0014,30MS 5,-16.54
19,34.0,K- 54,53.99533,0.0018,10MS 5,-11.68
19,35.0,,,,,-5.0
19,36.0,,,,,0.71
19,37.0,,,,,7.93
20,14.0,,,,,13.85
20,15.0,Ca- 35,35.00514,0.0006,50MS 30,4.79
20,15.0,Ca- 36,35.993074479,0.0001,100MS +90 -40,4.79
20,16.0,Ca- 37,36.98589821,0.0,175MS 3,-6.45
20,17.0,Ca- 38,37.976319253,0.0,440MS 12,-13.1361
20,18.0,Ca- 39,38.970710812,0.0,859.6MS 14,-22.0585
20,19.0,Ca- 40,39.962590863,0.0,-1.0,-27.2827
20,20.0,Ca-nat,40.078,0.01,,-34.8464
20,20.0,Ca- 41,40.96227789,0.0,1.02E+5Y 7,-34.8464
20,21.0,Ca- 42,41.958617791,0.0,-1.0,-35.1379
20,22.0,Ca- 43,42.958766339,0.0,-1.0,-38.5472
20,23.0,Ca- 44,43.955481345,0.0,-1.0,-38.4088
20,24.0,Ca- 45,44.956186141,0.0,162.61D 9,-41.4687
20,25.0,Ca- 46,45.953687315,0.0,-1.0,-40.8122
20,26.0,Ca- 47,46.954540737,0.0,4.536D 3,-43.1384
20,27.0,Ca- 48,47.952524131,0.0,6E+18Y GT,-42.3435
20,28.0,Ca- 49,48.955664095,0.0,8.718M 6,-44.2248
20,29.0,Ca- 50,49.957500421,0.0,13.9S 6,-41.2999
20,30.0,Ca- 51,50.961488307,0.0002,10.0S 8,-39.5892
20,31.0,Ca- 52,51.9651,0.0014,4.6S 3,-36.339
20,32.0,Ca- 53,52.97052,0.001,90MS 15,-34.26
20,33.0,Ca- 54,53.97527,0.0014,86MS 7,-28.46
20,34.0,Ca- 55,54.98178,0.0016,22MS 2,-24.78
20,35.0,Ca- 56,55.98669,0.0017,11MS 2,-18.35
20,36.0,,,,,-13.9
20,37.0,,,,,-6.87
20,38.0,,,,,-1.92
21,15.0,,,,,15.35
21,16.0,,,,,3.48
21,17.0,,,,,-4.55
21,18.0,Sc- 40,39.97796729,0.0,182.3MS 7,-14.173
21,19.0,Sc- 41,40.969251103,0.0,596.3MS 17,-20.5233
21,20.0,Sc- 42,41.965516495,0.0,680.8MS 3,-28.6424
21,21.0,Sc- 43,42.961150435,0.0,3.891H 12,-32.1211
21,22.0,Sc- 44,43.959402464,0.0,3.97H 4,-36.1881
21,23.0,Sc-nat,44.955912,0.0,,-37.816
21,23.0,Sc- 45,44.955909148,0.0,-1.0,-37.816
21,24.0,Sc- 46,45.95516913,0.0,83.79D 4,-41.0712
21,25.0,Sc- 47,46.952402487,0.0,3.3492D 6,-41.7605
21,26.0,Sc- 48,47.952224277,0.0,43.67H 9,-44.3356
21,27.0,Sc- 49,48.950015588,0.0,57.18M 13,-44.503
21,28.0,Sc- 50,49.952177639,0.0,102.5S 5,-46.5611
